State_Code_Dest,County_Code_Dest,State_Code_Origin,County_Code_Origin,State_Abbrv,County_Name,Return_Num,Exmpt_Num,Aggr_AGI,,
26,000,96,000,MI,Total Mig - US & For,"194,203","348,452","7,493,868",,
26,000,97,000,MI,Total Mig - US,"185,563","337,935","7,351,103",,
26,000,97,001,MI,Total Mig - US Same St,"133,795","240,930","4,912,322",,
26,000,97,003,MI,Total Mig - US Diff St,"51,768","97,005","2,438,781",,
26,000,98,000,MI,Total Mig - Foreign,"8,640","10,517","142,764",,
26,001,96,000,MI,Alcona County Tot Mig-US & For,275,536,"11,280",,
26,001,97,000,MI,Alcona County Tot Mig-US,275,536,"11,280",,
26,001,97,001,MI,Alcona County Tot Mig-Same St,224,435,"9,273",,
26,001,97,003,MI,Alcona County Tot Mig-Diff St,51,101,"2,007",,
26,001,98,000,MI,Alcona County Tot Mig-Foreign,d,d,d,,
26,001,26,001,MI,Alcona County Non-Migrants,"4,345","8,636","166,318",,
26,001,26,069,MI,Iosco County,44,94,"1,050",,
26,001,26,007,MI,Alpena County,29,62,579,,
26,001,26,049,MI,Genesee County,20,43,"1,064",,
26,001,26,125,MI,Oakland County,20,38,"1,368",,
26,001,26,163,MI,Wayne County,19,31,"1,007",,
26,001,26,099,MI,Macomb County,17,24,981,,
26,001,58,000,SS,Other Flows - Same State,75,143,"3,223",,
26,001,59,000,DS,Other Flows - Diff State,51,101,"2,007",,
26,003,96,000,MI,Alger County Tot Mig-US & For,190,345,"6,327",,
26,003,97,000,MI,Alger County Tot Mig-US,190,345,"6,327",,
26,003,97,001,MI,Alger County Tot Mig-Same St,119,213,"3,609",,
26,003,97,003,MI,Alger County Tot Mig-Diff St,71,132,"2,718",,
26,003,98,000,MI,Alger County Tot Mig-Foreign,d,d,d,,
26,003,26,003,MI,Alger County Non-Migrants,"3,473","7,241","145,700",,
26,003,26,103,MI,Marquette County,41,72,"1,127",,
26,003,26,041,MI,Delta County,10,19,274,,
26,003,58,000,SS,Other Flows - Same State,68,122,"2,208",,
26,003,59,000,DS,Other Flows - Diff State,71,132,"2,718",,
26,005,96,000,MI,Allegan County Tot Mig-US & For,"2,752","5,375","108,339",,
26,005,97,000,MI,Allegan County Tot Mig-US,"2,728","5,336","107,762",,
26,005,97,001,MI,Allegan County Tot Mig-Same St,"2,166","4,195","79,575",,
26,005,97,003,MI,Allegan County Tot Mig-Diff St,562,"1,141","28,187",,
26,005,98,000,MI,Allegan County Tot Mig-Foreign,24,39,577,,
26,005,26,005,MI,Allegan County Non-Migrants,"41,248","94,774","2,188,099",,
26,005,26,139,MI,Ottawa County,628,"1,296","23,410",,
26,005,26,081,MI,Kent County,474,879,"19,583",,
26,005,26,077,MI,Kalamazoo County,364,657,"11,379",,
26,005,26,159,MI,Van Buren County,194,375,"5,573",,
26,005,26,015,MI,Barry County,138,305,"4,296",,
26,005,17,031,IL,Cook County,60,120,"4,205",,
26,005,26,121,MI,Muskegon County,36,63,923,,
26,005,26,125,MI,Oakland County,32,51,"3,022",,
26,005,26,025,MI,Calhoun County,27,50,862,,
26,005,26,021,MI,Berrien County,18,33,521,,
26,005,26,163,MI,Wayne County,18,33,"1,310",,
26,005,04,013,AZ,Maricopa County,16,30,648,,
26,005,26,049,MI,Genesee County,15,35,853,,
26,005,26,065,MI,Ingham County,15,22,471,,
26,005,26,149,MI,St Joseph County,15,36,453,,
26,005,26,161,MI,Washtenaw County,15,20,731,,
26,005,57,001,FR,Foreign - Overseas,13,21,354,,
26,005,26,067,MI,Ionia County,12,21,383,,
26,005,48,215,TX,Hidalgo County,12,34,201,,
26,005,06,037,CA,Los Angeles County,10,13,268,,
26,005,18,141,IN,St Joseph County,10,20,268,,
26,005,26,099,MI,Macomb County,10,23,673,,
26,005,26,123,MI,Newaygo County,10,22,287,,
26,005,58,000,SS,Other Flows - Same State,145,274,"4,843",,
26,005,59,000,DS,Other Flows - Diff State,454,924,"22,597",,
26,005,59,001,DS,Other Flows - Northeast,41,74,"2,215",,
26,005,59,003,DS,Other Flows - Midwest,103,225,"6,202",,
26,005,59,005,DS,Other Flows - South,225,475,"10,923",,
26,005,59,007,DS,Other Flows - West,85,150,"3,256",,
26,005,57,009,FR,Foreign - Other flows,11,18,224,,
26,007,96,000,MI,Alpena County Tot Mig-US & For,518,979,"16,473",,
26,007,97,000,MI,Alpena County Tot Mig-US,518,979,"16,473",,
26,007,97,001,MI,Alpena County Tot Mig-Same St,365,672,"11,295",,
26,007,97,003,MI,Alpena County Tot Mig-Diff St,153,307,"5,179",,
26,007,98,000,MI,Alpena County Tot Mig-Foreign,d,d,d,,
26,007,26,007,MI,Alpena County Non-Migrants,"11,949","24,867","523,186",,
26,007,26,141,MI,Presque Isle County,48,87,"1,310",,
26,007,26,001,MI,Alcona County,40,91,920,,
26,007,26,119,MI,Montmorency County,27,45,503,,
26,007,26,125,MI,Oakland County,24,48,"1,203",,
26,007,26,163,MI,Wayne County,24,46,769,,
26,007,26,049,MI,Genesee County,19,27,424,,
26,007,26,099,MI,Macomb County,16,25,807,,
26,007,26,069,MI,Iosco County,12,15,253,,
26,007,26,031,MI,Cheboygan County,10,17,269,,
26,007,58,000,SS,Other Flows - Same State,145,271,"4,837",,
26,007,59,000,DS,Other Flows - Diff State,153,307,"5,179",,
26,009,96,000,MI,Antrim County Tot Mig-US & For,614,"1,174","24,859",,
26,009,97,000,MI,Antrim County Tot Mig-US,614,"1,174","24,859",,
26,009,97,001,MI,Antrim County Tot Mig-Same St,476,920,"18,539",,
26,009,97,003,MI,Antrim County Tot Mig-Diff St,138,254,"6,319",,
26,009,98,000,MI,Antrim County Tot Mig-Foreign,d,d,d,,
26,009,26,009,MI,Antrim County Non-Migrants,"9,074","19,193","462,709",,
26,009,26,055,MI,Grand Traverse County,86,150,"2,592",,
26,009,26,079,MI,Kalkaska County,66,143,"1,331",,
26,009,26,029,MI,Charlevoix County,57,108,"1,566",,
26,009,26,125,MI,Oakland County,29,56,"2,296",,
26,009,26,137,MI,Otsego County,28,63,"1,093",,
26,009,26,081,MI,Kent County,18,30,816,,
26,009,26,047,MI,Emmet County,16,26,430,,
26,009,26,163,MI,Wayne County,16,34,"1,122",,
26,009,26,099,MI,Macomb County,11,21,428,,
26,009,58,000,SS,Other Flows - Same State,149,289,"6,865",,
26,009,59,000,DS,Other Flows - Diff State,138,254,"6,319",,
26,009,59,001,DS,Other Flows - Northeast,10,21,797,,
26,009,59,003,DS,Other Flows - Midwest,31,68,"4,015",,
26,009,59,005,DS,Other Flows - South,72,127,625,,
26,009,59,007,DS,Other Flows - West,25,38,881,,
26,011,96,000,MI,Arenac County Tot Mig-US & For,397,749,"11,451",,
26,011,97,000,MI,Arenac County Tot Mig-US,397,749,"11,451",,
26,011,97,001,MI,Arenac County Tot Mig-Same St,334,623,"9,839",,
26,011,97,003,MI,Arenac County Tot Mig-Diff St,63,126,"1,612",,
26,011,98,000,MI,Arenac County Tot Mig-Foreign,d,d,d,,
26,011,26,011,MI,Arenac County Non-Migrants,"6,280","13,090","244,813",,
26,011,26,017,MI,Bay County,83,150,"1,722",,
26,011,26,129,MI,Ogemaw County,41,84,666,,
26,011,26,145,MI,Saginaw County,34,53,"1,428",,
26,011,26,049,MI,Genesee County,32,68,832,,
26,011,26,069,MI,Iosco County,26,49,677,,
26,011,26,099,MI,Macomb County,14,25,495,,
26,011,26,125,MI,Oakland County,14,23,497,,
26,011,26,163,MI,Wayne County,12,25,601,,
26,011,58,000,SS,Other Flows - Same State,78,146,"2,922",,
26,011,59,000,DS,Other Flows - Diff State,63,126,"1,612",,
26,013,96,000,MI,Baraga County Tot Mig-US & For,114,217,"4,390",,
26,013,97,000,MI,Baraga County Tot Mig-US,114,217,"4,390",,
26,013,97,001,MI,Baraga County Tot Mig-Same St,75,146,"2,999",,
26,013,97,003,MI,Baraga County Tot Mig-Diff St,39,71,"1,391",,
26,013,98,000,MI,Baraga County Tot Mig-Foreign,d,d,d,,
26,013,26,013,MI,Baraga County Non-Migrants,"3,027","6,267","120,168",,
26,013,26,061,MI,Houghton County,14,30,397,,
26,013,26,103,MI,Marquette County,13,29,403,,
26,013,58,000,SS,Other Flows - Same State,48,87,"2,200",,
26,013,59,000,DS,Other Flows - Diff State,39,71,"1,391",,
26,015,96,000,MI,Barry County Tot Mig-US & For,"1,291","2,501","50,824",,
26,015,97,000,MI,Barry County Tot Mig-US,"1,291","2,501","50,824",,
26,015,97,001,MI,Barry County Tot Mig-Same St,"1,053","2,034","42,009",,
26,015,97,003,MI,Barry County Tot Mig-Diff St,238,467,"8,816",,
26,015,98,000,MI,Barry County Tot Mig-Foreign,d,d,d,,
26,015,26,015,MI,Barry County Non-Migrants,"22,136","50,477","1,219,263",,
26,015,26,081,MI,Kent County,318,609,"14,651",,
26,015,26,025,MI,Calhoun County,137,242,"4,370",,
26,015,26,077,MI,Kalamazoo County,125,237,"6,737",,
26,015,26,005,MI,Allegan County,117,224,"3,551",,
26,015,26,045,MI,Eaton County,78,151,"2,452",,
26,015,26,067,MI,Ionia County,69,156,"2,145",,
26,015,26,139,MI,Ottawa County,37,76,889,,
26,015,26,065,MI,Ingham County,21,46,703,,
26,015,26,159,MI,Van Buren County,13,25,478,,
26,015,26,117,MI,Montcalm County,10,18,391,,
26,015,58,000,SS,Other Flows - Same State,128,250,"5,644",,
26,015,59,000,DS,Other Flows - Diff State,238,467,"8,816",,
26,015,59,001,DS,Other Flows - Northeast,15,31,692,,
26,015,59,003,DS,Other Flows - Midwest,81,164,"3,746",,
26,015,59,005,DS,Other Flows - South,98,193,"2,986",,
26,015,59,007,DS,Other Flows - West,44,79,"1,392",,
26,017,96,000,MI,Bay County Tot Mig-US & For,"1,892","3,330","60,481",,
26,017,97,000,MI,Bay County Tot Mig-US,"1,872","3,305","60,146",,
26,017,97,001,MI,Bay County Tot Mig-Same St,"1,469","2,581","46,615",,
26,017,97,003,MI,Bay County Tot Mig-Diff St,403,724,"13,531",,
26,017,98,000,MI,Bay County Tot Mig-Foreign,20,25,335,,
26,017,26,017,MI,Bay County Non-Migrants,"44,618","92,099","2,114,915",,
26,017,26,145,MI,Saginaw County,395,711,"13,794",,
26,017,26,111,MI,Midland County,244,433,"7,678",,
26,017,26,157,MI,Tuscola County,110,185,"3,098",,
26,017,26,011,MI,Arenac County,100,179,"2,323",,
26,017,26,063,MI,Huron County,52,69,"1,528",,
26,017,26,125,MI,Oakland County,50,72,"1,703",,
26,017,26,049,MI,Genesee County,49,97,"1,469",,
26,017,26,051,MI,Gladwin County,34,64,"1,191",,
26,017,26,073,MI,Isabella County,31,58,824,,
26,017,26,163,MI,Wayne County,28,51,"1,341",,
26,017,26,069,MI,Iosco County,27,53,686,,
26,017,26,129,MI,Ogemaw County,27,39,658,,
26,017,26,081,MI,Kent County,26,49,701,,
26,017,26,099,MI,Macomb County,23,38,907,,
26,017,26,065,MI,Ingham County,22,35,806,,
26,017,26,151,MI,Sanilac County,16,23,333,,
26,017,04,013,AZ,Maricopa County,15,28,724,,
26,017,26,077,MI,Kalamazoo County,14,22,497,,
26,017,26,161,MI,Washtenaw County,13,23,478,,
26,017,26,143,MI,Roscommon County,11,30,272,,
26,017,26,045,MI,Eaton County,10,18,179,,
26,017,26,139,MI,Ottawa County,10,14,534,,
26,017,26,147,MI,St Clair County,10,22,291,,
26,017,58,000,SS,Other Flows - Same State,167,296,"5,322",,
26,017,59,000,DS,Other Flows - Diff State,388,696,"12,807",,
26,017,59,001,DS,Other Flows - Northeast,38,72,"1,068",,
26,017,59,003,DS,Other Flows - Midwest,106,195,"4,678",,
26,017,59,005,DS,Other Flows - South,182,321,"5,287",,
26,017,59,007,DS,Other Flows - West,62,108,"1,774",,
26,017,57,009,FR,Foreign - Other flows,20,25,335,,
26,019,96,000,MI,Benzie County Tot Mig-US & For,536,986,"21,642",,
26,019,97,000,MI,Benzie County Tot Mig-US,536,986,"21,642",,
26,019,97,001,MI,Benzie County Tot Mig-Same St,404,725,"14,547",,
26,019,97,003,MI,Benzie County Tot Mig-Diff St,132,261,"7,095",,
26,019,98,000,MI,Benzie County Tot Mig-Foreign,d,d,d,,
26,019,26,019,MI,Benzie County Non-Migrants,"6,846","14,343","317,349",,
26,019,26,055,MI,Grand Traverse County,167,295,"5,159",,
26,019,26,101,MI,Manistee County,41,86,"1,252",,
26,019,26,089,MI,Leelanau County,20,40,711,,
26,019,26,125,MI,Oakland County,20,29,829,,
26,019,26,163,MI,Wayne County,15,28,787,,
26,019,26,081,MI,Kent County,13,26,450,,
26,019,26,165,MI,Wexford County,12,23,385,,
26,019,26,099,MI,Macomb County,11,14,359,,
