"d_fips","n_return_in","n_exempt_in","agi","year"
"01007",1979,4271,57475,2009
"01009",5235,11851,185733,2009
"01011",647,1379,20190,2009
"01013",1315,2843,40712,2009
"01015",9469,19315,314382,2009
"01017",2695,5559,75443,2009
"01019",1899,4031,59149,2009
"01021",3355,7823,106005,2009
"01023",839,1831,26427,2009
"01025",1683,3735,49710,2009
"01027",1091,2703,31575,2009
"01029",1387,3071,46170,2009
"01031",8963,18854,351260,2009
"01033",5140,10498,158298,2009
"01035",915,1947,28051,2009
"01037",1483,3307,47659,2009
"01039",2990,6356,83313,2009
"01041",1323,2839,40999,2009
"01043",5753,12230,195113,2009
"01045",9720,22236,332867,2009
"01047",2155,4359,50690,2009
"01049",5194,11794,147210,2009
"01051",10307,22328,404261,2009
"01053",2835,5963,88086,2009
"01055",7526,15553,247509,2009
"01057",1151,2551,36176,2009
"01059",2427,5699,70955,2009
"01061",2546,5413,72718,2009
"01063",667,1399,16326,2009
"01065",1323,3175,37847,2009
"01067",1927,4275,63662,2009
"01069",11286,23962,389579,2009
"01071",3509,7607,119715,2009
"01073",49272,92243,2117827,2009
"01075",975,2007,26047,2009
"01077",7678,15233,268370,2009
"01079",2451,5291,72471,2009
"01081",18662,36871,687564,2009
"01083",9716,21033,483798,2009
"01085",1079,2339,31884,2009
"01087",2217,4296,53404,2009
"01089",36274,72334,1953856,2009
"01091",1475,3295,43500,2009
"01093",2015,4339,60338,2009
"01095",8013,17233,278297,2009
"01097",26250,50466,938814,2009
"01099",1227,2675,37659,2009
"01101",23413,47020,842988,2009
"01103",10269,21204,374682,2009
"01105",663,1415,18290,2009
"01107",1315,2739,34467,2009
"01109",3344,6168,90076,2009
"01111",1483,3443,50349,2009
"01113",9250,20813,247112,2009
"01115",9541,20045,402886,2009
"01117",24988,50604,1365912,2009
"01119",907,1707,21489,2009
"01121",6729,13861,208160,2009
"01123",3838,8665,141047,2009
"01125",16373,29862,575970,2009
"01127",4398,9426,148542,2009
"01129",1243,2875,38868,2009
"01131",803,1743,21993,2009
"01133",1859,3995,57917,2009
"02000",69598,135632,2999381,2009
"02013",523,855,17110,2009
"02016",1047,1727,36458,2009
"02020",44555,86021,1932308,2009
"02050",1260,2179,46048,2009
"02060",99,145,4301,2009
"02068",423,691,17599,2009
"02070",427,867,16095,2009
"02090",14774,30971,551465,2009
"02100",379,667,16415,2009
"02105",207,359,11224,2009
"02110",4228,7143,183631,2009
"02122",7072,13015,308609,2009
"02130",1961,3661,74346,2009
"02150",2769,5822,109910,2009
"02164",203,371,6787,2009
"02170",12137,25841,608969,2009
"02180",868,1489,36605,2009
"02185",775,1311,40531,2009
"02188",511,919,23838,2009
"02195",439,731,19671,2009
"02198",523,943,22590,2009
"02220",1488,2652,58778,2009
"02230",271,331,9187,2009
"02240",1333,2860,69359,2009
"02261",1754,3119,75201,2009
"02270",475,1067,16967,2009
"02275",199,371,8445,2009
"02282",45,79,1327,2009
"02290",619,1187,23421,2009
"04000",398894,770868,17520476,2009
"04001",9631,22482,280530,2009
"04003",19833,42202,750941,2009
"04005",19592,34254,905340,2009
"04007",5392,10625,219467,2009
"04009",3554,8218,163686,2009
"04011",1095,2615,50337,2009
"04012",2039,3999,67141,2009
"04013",275448,515387,12853348,2009
"04015",21989,43063,814966,2009
"04017",11250,25042,390852,2009
"04019",75910,136597,3363308,2009
"04021",61443,132603,2569976,2009
"04023",3617,7934,145921,2009
"04025",24764,44640,1073344,2009
"04027",18727,39867,649127,2009
"05000",214199,431963,7602197,2009
"05001",1423,2959,36706,2009
"05003",1303,2839,40687,2009
"05005",5016,9688,186486,2009
"05007",29780,61937,1443068,2009
"05009",3778,7571,110327,2009
"05011",847,1919,23616,2009
"05013",335,767,9143,2009
"05015",3200,6077,115517,2009
"05017",859,1831,25826,2009
"05019",2178,4310,61257,2009
"05021",1235,2663,29135,2009
"05023",3080,6498,117175,2009
"05025",723,1603,21651,2009
"05027",1763,3543,55346,2009
"05029",2071,4303,56221,2009
"05031",10832,21647,335214,2009
"05033",6749,14485,218849,2009
"05035",5194,10660,169078,2009
"05037",1511,3315,44952,2009
"05039",603,1359,13740,2009
"05041",975,2063,20662,2009
"05043",1607,3335,45313,2009
"05045",13757,26561,495077,2009
"05047",1691,3591,51915,2009
"05049",1035,2327,25123,2009
"05051",10298,19959,427528,2009
"05053",1715,3523,57610,2009
"05055",3817,8068,103746,2009
"05057",1723,3567,47452,2009
"05059",3019,6248,90004,2009
"05061",1123,2455,30324,2009
"05063",3412,7309,99658,2009
"05065",1203,2559,32593,2009
"05067",1263,2627,33413,2009
"05069",5732,11297,157096,2009
"05071",2165,4556,61705,2009
"05073",643,1251,23167,2009
"05075",1459,3063,35343,2009
"05077",635,1311,14823,2009
"05079",947,1983,23033,2009
"05081",1307,2663,41160,2009
"05083",1863,4023,50359,2009
"05085",10405,23067,378652,2009
"05087",1515,3035,42426,2009
"05089",2043,4126,62943,2009
"05091",5447,10999,185683,2009
"05093",3773,8311,104192,2009
"05095",779,1623,20358,2009
"05097",819,1739,27134,2009
"05099",939,2067,24904,2009
"05101",655,1439,19443,2009
"05103",1803,3867,57615,2009
"05105",1123,2503,34928,2009
"05107",1383,2751,29564,2009
"05109",923,1943,26204,2009
"05111",2055,4667,48834,2009
"05113",1715,3603,56743,2009
"05115",6340,12731,201105,2009
"05117",663,1331,16939,2009
"05119",39969,73744,1502493,2009
"05121",1526,3226,37167,2009
"05123",2059,4431,45475,2009
"05125",13542,28061,564250,2009
"05127",939,2063,25147,2009
"05129",611,1443,16552,2009
"05131",13695,27292,662896,2009
"05133",1235,2787,26444,2009
"05135",1871,4047,53337,2009
"05137",1023,2035,30745,2009
"05139",2963,6295,148421,2009
"05141",1591,3259,63763,2009
"05143",23792,43818,877360,2009
"05145",8374,17288,273688,2009
"05147",535,1087,12820,2009
"05149",2199,4831,58026,2009
"06000",2006995,3719873,98197396,2009
"06001",153133,263573,8327387,2009
"06003",139,231,4883,2009
"06005",3210,5511,140196,2009
"06007",17728,30508,587874,2009
"06009",4430,8259,212718,2009
"06011",1527,3503,55220,2009
"06013",95256,182911,6471915,2009
"06015",2111,4431,70163,2009
"06017",19419,35676,1139590,2009
"06019",44166,90929,1595522,2009
"06021",2279,5103,68468,2009
"06023",11526,17904,340529,2009
"06025",12084,29424,383838,2009
"06027",2295,3781,87796,2009
"06029",44363,100007,1704397,2009
"06031",12847,28452,431540,2009
"06033",5487,10326,194468,2009
"06035",2999,6163,119685,2009
"06037",439073,747380,19221007,2009
"06039",10065,22504,371862,2009
"06041",32355,48099,2331922,2009
"06043",2358,4040,92518,2009
"06045",6105,10681,219061,2009
"06047",16932,39660,573182,2009
"06049",787,1671,24630,2009
"06051",2272,3687,81143,2009
"06053",32691,66459,1439502,2009
"06055",12845,24383,722626,2009
"06057",10654,17781,548578,2009
"06059",211639,394565,11424313,2009
"06061",44981,86634,2592673,2009
"06063",1867,3419,82500,2009
"06065",194285,427014,8906406,2009
"06067",116336,210151,4732535,2009
"06069",4862,11336,240975,2009
"06071",171015,372277,6378474,2009
"06073",257785,451407,11624322,2009
"06075",125223,161439,7578685,2009
"06077",49416,108964,2186301,2009
"06079",23864,40374,1187719,2009
"06081",79226,137098,5914358,2009
"06083",32864,56935,1268179,2009
"06085",139231,240600,8988513,2009
"06087",21907,36599,1043789,2009
"06089",14147,26444,511377,2009
"06091",343,619,13235,2009
"06093",3845,7087,132841,2009
"06095",41627,81509,1830522,2009
"06097",34707,57944,1830511,2009
"06099",34263,76387,1285123,2009
"06101",9653,20692,332372,2009
"06103",5511,11516,180917,2009
"06105",1159,2227,43211,2009
"06107",21854,50680,774454,2009
"06109",4841,8332,196608,2009
"06111",56789,108742,3200220,2009
"06113",25630,45627,1072657,2009
"06115",11614,25635,420953,2009
"08000",560807,1025787,25279917,2009
"08001",71876,149227,2705124,2009
"08003",1931,3651,53620,2009
"08005",99298,186569,4520841,2009
"08007",1752,3151,103130,2009
"08009",323,755,9611,2009
"08011",487,1071,13807,2009
"08013",44325,69284,2153461,2009
"08014",22368,39390,1176495,2009
"08015",2642,4529,125118,2009
"08017",147,287,3939,2009
"08019",1578,2682,75770,2009
"08021",551,1167,16479,2009
"08023",307,607,8743,2009
"08025",355,747,11472,2009
"08027",607,1147,31315,2009
"08029",3870,7577,147430,2009
"08031",132715,213625,5475855,2009
"08033",167,295,6475,2009
"08035",44682,88894,3315906,2009
"08037",11060,16402,519821,2009
"08039",3051,6487,178508,2009
"08041",76648,158433,3073195,2009
"08043",4626,9109,168675,2009
"08045",9477,19015,450409,2009
"08047",1083,1883,53520,2009
"08049",2784,4555,149373,2009
"08051",2861,4091,125271,2009
"08053",123,215,5025,2009
"08055",751,1511,33595,2009
"08057",251,503,19527,2009
"08059",75348,131145,3431894,2009
"08061",69,161,2975,2009
"08063",827,1767,23943,2009
"08065",1323,2177,46965,2009
"08067",7699,12885,352688,2009
"08069",41407,68785,1841177,2009
"08071",1679,3299,58426,2009
"08073",443,935,12540,2009
"08075",1903,3531,63643,2009
"08077",19249,38260,875332,2009
"08079",35,53,1551,2009
"08081",1699,3751,66327,2009
"08083",3185,6079,131983,2009
"08085",4941,10291,204720,2009
"08087",3054,6607,92772,2009
"08089",1623,3379,43183,2009
"08091",659,1183,49127,2009
"08093",2227,4209,104568,2009
"08095",415,927,34791,2009
"08097",3850,5012,150547,2009
"08099",1059,2235,33790,2009
"08101",12668,24840,477564,2009
"08103",1179,2491,60706,2009
"08105",1491,2827,57451,2009
"08107",5179,7618,232165,2009
"08109",487,971,18108,2009
"08111",135,195,4545,2009
"08113",1717,2288,75742,2009
"08115",247,571,7071,2009
"08117",7719,10435,338304,2009
"08119",3730,7416,194433,2009
"08121",483,999,14396,2009
"08123",32255,65328,1410148,2009
"08125",1027,2359,45803,2009
"09000",186815,311893,11277257,2009
"09001",58212,101170,5528507,2009
"09003",59387,97848,3122837,2009
"09005",14270,23725,733329,2009
"09007",17072,27183,988078,2009
"09009",58379,95100,2763278,2009
"09011",25982,45619,1220918,2009
"09013",16097,25824,787595,2009
"09015",9759,16404,389732,2009
"10000",52192,94681,2488143,2009
"10001",17569,33330,677540,2009
"10003",38406,68801,1902482,2009
"10005",17711,31564,914850,2009
"11000",82301,109048,4217814,2009
"11001",112731,149101,5733369,2009
"12000",1447714,2595511,64710884,2009
"12001",33078,52194,1071554,2009
"12003",2433,5002,82018,2009
"12005",23003,43409,988560,2009
"12007",2547,5055,77486,2009
"12009",50683,92064,2270737,2009
"12011",168051,291414,7424972,2009
"12013",1239,2567,36291,2009
"12015",21036,37541,1073573,2009
"12017",16580,30695,792160,2009
"12019",29448,60850,1196484,2009
"12021",34654,62754,3207335,2009
"12023",7359,14409,233361,2009
"12027",2711,5361,78173,2009
"12029",1524,2975,41908,2009
"12031",97275,172303,3776215,2009
"12033",38450,67977,1216947,2009
"12035",15174,29380,714910,2009
"12037",975,1703,32772,2009
"12039",4732,9279,144915,2009
"12041",2073,4137,64350,2009
"12043",1227,2287,45305,2009
"12045",1459,2771,51228,2009
"12047",1315,2823,31502,2009
"12049",2181,4926,56118,2009
"12051",3709,7832,117081,2009
"12053",20599,39788,733543,2009
"12055",9891,18732,332494,2009
"12057",135103,241282,5617458,2009
"12059",1969,4065,51212,2009
"12061",16416,29466,1047580,2009
"12063",4049,8284,250445,2009
"12065",1431,2811,53203,2009
"12067",559,1135,19379,2009
"12069",41573,79234,1625573,2009
"12071",65965,118244,4216281,2009
"12073",33121,53326,1032005,2009
"12075",5092,9762,151278,2009
"12077",599,1267,16922,2009
"12079",1315,2619,32723,2009
"12081",37777,68153,1978322,2009
"12083",34635,65196,1264621,2009
"12085",18235,32546,1258778,2009
"12086",141305,240664,5630524,2009
"12087",13600,22077,865535,2009
"12089",10118,20011,610265,2009
"12091",30231,56850,1237789,2009
"12093",3771,7192,133051,2009
"12095",156228,270418,5665972,2009
"12097",47920,96669,1505735,2009
"12099",114923,196833,7376155,2009
"12101",61537,114636,2415818,2009
"12103",90875,146981,3961521,2009
"12105",61229,120973,2406491,2009
"12107",6673,12791,221647,2009
"12109",28784,56473,1840274,2009
"12111",34044,63888,1477398,2009
"12113",24422,49293,1121765,2009
"12115",46204,80241,3275180,2009
"12117",66825,118051,2576409,2009
"12119",15996,28560,1055801,2009
"12121",4430,8941,139979,2009
"12123",1625,3074,47853,2009
"12125",1419,2875,43476,2009
"12127",50413,88938,1887227,2009
"12129",3976,8120,146084,2009
"12131",8901,16513,487675,2009
"12133",2727,5479,82577,2009
"13000",988230,1909715,35321190,2009
"13001",1203,2719,33049,2009
"13003",607,1483,14451,2009
"13005",799,1795,20234,2009
"13007",259,547,6396,2009
"13009",3977,7437,158272,2009
"13011",2299,5347,73825,2009
"13013",10331,21258,363151,2009
"13015",11126,23822,386387,2009
"13017",1483,3383,34413,2009
"13019",1997,4420,57292,2009
"13021",14953,28445,501000,2009
