"GEOID1","MOVEDOUT_M","MOVEDIN","MOVEDOUT","MOVEDNET","MOVEDNET_M","year"
"2600787680",146,209,146,63,63,2012
"2600701740",963,1099,963,92,92,2013
"2600701760",525,524,525,-1,-1,2013
"2600734740",48,77,48,29,29,2013
"2600749360",166,42,166,-124,-124,2013
"2600751220",68,34,68,-34,-34,2013
"2600761520",148,159,148,11,11,2013
"2600771240",56,205,56,149,149,2013
"2600785180",28,13,28,-15,-15,2013
"2600787680",192,121,192,-71,-71,2013
"2600701740",886,1128,886,225,225,2014
"2600701760",593,586,593,-13,-13,2014
"2600734740",47,77,47,30,30,2014
"2600749360",202,42,202,-163,-163,2014
"2600751220",65,62,65,-3,-3,2014
"2600761520",112,141,112,29,29,2014
"2600771240",38,203,38,165,165,2014
"2600785180",2,9,2,7,7,2014
"2600787680",264,93,264,-171,-171,2014
"2600701740",1146,1341,1146,189,189,2015
"2600701760",688,627,688,-80,-80,2015
"2600734740",78,71,78,-10,-10,2015
"2600749360",219,40,219,-181,-181,2015
"2600751220",78,83,78,5,5,2015
"2600761520",66,164,66,98,98,2015
"2600771240",31,178,31,147,147,2015
"2600785180",4,9,4,5,5,2015
"2600787680",287,76,287,-211,-211,2015
"2600701740",1228,1318,1228,86,86,2016
"2600701760",645,489,645,-175,-175,2016
"2600734740",94,61,94,-37,-37,2016
"2600749360",189,62,189,-130,-130,2016
"2600751220",84,99,84,15,15,2016
"2600761520",91,173,91,82,82,2016
"2600771240",84,201,84,117,117,2016
"2600785180",7,2,7,-5,-5,2016
"2600787680",218,36,218,-182,-182,2016
"2603503620",31,20,31,-11,-11,2010
"2603515920",761,583,761,-187,-187,2010
"2603530280",0,61,0,61,61,2010
"2603530560",6,116,6,110,110,2010
"2603530900",45,160,45,115,115,2010
"2603531560",507,189,507,-318,-318,2010
"2603534220",53,221,53,168,168,2010
"2603535120",40,115,40,70,70,2010
"2603536140",15,273,15,258,258,2010
"2603536800",1236,299,1236,-937,-937,2010
"2603537160",9,58,9,49,49,2010
"2603537340",171,465,171,294,294,2010
"2603547620",183,230,183,42,42,2010
"2603567600",136,98,136,-47,-47,2010
"2603573000",48,80,48,32,32,2010
"2603577120",9,35,9,26,26,2010
"2603577580",550,325,550,-225,-225,2010
"2603587980",22,34,22,12,12,2010
"2603503620",20,32,20,12,12,2011
"2603515920",483,602,483,104,104,2011
"2603530280",41,59,41,18,18,2011
"2603530560",9,57,9,48,48,2011
"2603530900",54,160,54,106,106,2011
"2603531560",425,133,425,-292,-292,2011
"2603534220",124,177,124,53,53,2011
"2603535120",34,128,34,89,89,2011
"2603536140",221,325,221,104,104,2011
"2603536800",985,307,985,-678,-678,2011
"2603537160",41,65,41,24,24,2011
"2603537340",226,480,226,254,254,2011
"2603547620",218,202,218,-20,-20,2011
"2603567600",146,98,146,-55,-55,2011
"2603573000",41,129,41,88,88,2011
"2603577120",7,33,7,26,26,2011
"2603577580",532,242,532,-290,-290,2011
"2603587980",21,26,21,5,5,2011
"2603503620",21,45,21,22,22,2012
"2603515920",474,585,474,97,97,2012
"2603530280",38,63,38,25,25,2012
"2603530560",23,58,23,35,35,2012
"2603530900",68,169,68,101,101,2012
"2603531560",278,159,278,-119,-119,2012
"2603534220",184,241,184,57,57,2012
"2603535120",40,114,40,70,70,2012
"2603536140",306,344,306,38,38,2012
"2603536800",836,294,836,-542,-542,2012
"2603537160",39,51,39,12,12,2012
"2603537340",403,341,403,-62,-62,2012
"2603547620",202,207,202,3,3,2012
"2603567600",149,80,149,-71,-71,2012
"2603573000",96,129,96,33,33,2012
"2603577120",12,19,12,7,7,2012
"2603577580",589,273,589,-316,-316,2012
"2603587980",34,26,34,-8,-8,2012
"2603503620",53,36,53,-18,-18,2013
"2603515920",561,610,561,43,43,2013
"2603530280",61,68,61,7,7,2013
"2603530560",16,45,16,29,29,2013
"2603530900",63,157,63,94,94,2013
"2603531560",264,127,264,-137,-137,2013
"2603534220",206,210,206,4,4,2013
"2603535120",38,132,38,90,90,2013
"2603536140",313,256,313,-57,-57,2013
"2603536800",961,273,961,-688,-688,2013
"2603537160",42,54,42,12,12,2013
"2603537340",275,314,275,39,39,2013
"2603547620",137,176,137,35,35,2013
"2603567600",50,70,50,17,17,2013
"2603573000",97,120,97,-5,-5,2013
"2603577120",15,18,15,3,3,2013
"2603577580",538,254,538,-284,-284,2013
"2603587980",36,37,36,1,1,2013
"2603503620",46,47,46,0,0,2014
"2603515920",642,553,642,-94,-94,2014
"2603530280",59,72,59,13,13,2014
"2603530560",19,35,19,16,16,2014
"2603530900",64,131,64,67,67,2014
"2603531560",359,133,359,-226,-226,2014
"2603534220",247,168,247,-79,-79,2014
"2603535120",83,104,83,18,18,2014
"2603536140",305,141,305,-164,-164,2014
"2603536800",755,348,755,-407,-407,2014
"2603537160",100,59,100,-41,-41,2014
"2603537340",268,393,268,125,125,2014
"2603547620",131,325,131,192,192,2014
"2603567600",86,76,86,-13,-13,2014
"2603573000",64,122,64,24,24,2014
"2603577120",13,18,13,5,5,2014
"2603577580",491,302,491,-189,-189,2014
"2603587980",39,53,39,13,13,2014
"2603503620",53,42,53,-13,-13,2015
"2603515920",744,446,744,-306,-306,2015
"2603530280",55,113,55,58,58,2015
"2603530560",20,56,20,33,33,2015
"2603530900",21,116,21,95,95,2015
"2603531560",294,119,294,-175,-175,2015
"2603534220",230,162,230,-68,-68,2015
"2603535120",74,108,74,34,34,2015
"2603536140",279,147,279,-132,-132,2015
"2603536800",751,354,751,-397,-397,2015
"2603537160",86,91,86,5,5,2015
"2603537340",297,517,297,220,220,2015
"2603547620",72,311,72,239,239,2015
"2603567600",80,59,80,-21,-21,2015
"2603573000",58,133,58,42,42,2015
"2603577120",24,18,24,-6,-6,2015
"2603577580",406,351,406,-55,-55,2015
"2603587980",23,64,23,40,40,2015
"2603503620",86,26,86,-62,-62,2016
"2603515920",687,303,687,-385,-385,2016
"2603530280",40,81,40,41,41,2016
"2603530560",13,55,13,39,39,2016
"2603530900",11,120,11,109,109,2016
"2603531560",238,152,238,-86,-86,2016
"2603534220",189,275,189,86,86,2016
"2603535120",80,98,80,18,18,2016
"2603536140",94,87,94,-7,-7,2016
"2603536800",740,300,740,-440,-440,2016
"2603537160",192,82,192,-110,-110,2016
"2603537340",291,699,291,408,408,2016
"2603547620",68,324,68,256,256,2016
"2603567600",80,37,80,-43,-43,2016
"2603573000",68,74,68,-26,-26,2016
"2603577120",23,35,23,12,12,2016
"2603577580",445,536,445,91,91,2016
"2603587980",17,82,17,64,64,2016
"2610314540",68,8,68,-60,-60,2010
"2610315660",442,437,442,-5,-5,2010
"2610325820",59,69,59,10,10,2010
"2610326840",0,6,0,3,3,2010
"2610329720",595,473,595,-211,-211,2010
"2610339940",9,49,9,40,40,2010
"2610341220",494,428,494,-66,-66,2010
"2610341240",180,170,180,-23,-23,2010
"2610351900",2704,3427,2704,648,648,2010
"2610351920",501,437,501,-77,-77,2010
"2610353540",70,15,70,-55,-55,2010
"2610356860",320,419,320,86,86,2010
"2610356880",568,156,568,-421,-421,2010
"2610366120",13,29,13,0,0,2010
"2610368000",34,95,34,61,61,2010
"2610368420",9,39,9,30,30,2010
"2610371460",107,141,107,27,27,2010
"2610374110",131,5,131,-126,-126,2010
"2610379780",32,54,32,22,22,2010
"2610380780",0,1,0,1,1,2010
"2610385260",30,14,30,-16,-16,2010
"2610385540",85,288,85,192,192,2010
"2610314540",67,7,67,-60,-60,2011
"2610315660",657,491,657,-166,-166,2011
"2610325820",101,116,101,15,15,2011
"2610326840",0,3,0,3,3,2011
"2610329720",689,547,689,-226,-226,2011
"2610339940",12,53,12,41,41,2011
"2610341220",428,425,428,-3,-3,2011
"2610341240",226,129,226,-108,-108,2011
"2610351900",2876,3356,2876,372,372,2011
"2610351920",363,474,363,100,100,2011
"2610353540",81,17,81,-64,-64,2011
"2610356860",271,397,271,113,113,2011
"2610356880",515,132,515,-383,-383,2011
"2610366120",36,27,36,-24,-24,2011
"2610368000",29,98,29,69,69,2011
"2610368420",37,57,37,20,20,2011
"2610371460",96,172,96,63,63,2011
"2610374110",115,8,115,-107,-107,2011
"2610379780",38,45,38,7,7,2011
"2610385260",31,13,31,-18,-18,2011
"2610385540",144,246,144,102,102,2011
"2610314540",11,6,11,-5,-5,2012
"2610315660",616,556,616,-60,-60,2012
"2610325820",133,112,133,-21,-21,2012
"2610326840",0,3,0,3,3,2012
"2610329720",750,630,750,-203,-203,2012
"2610339940",16,63,16,47,47,2012
"2610341220",357,383,357,20,20,2012
"2610341240",93,125,93,19,19,2012
"2610351900",2639,3279,2639,552,552,2012
"2610351920",293,407,293,100,100,2012
"2610353540",63,14,63,-49,-49,2012
"2610356860",466,304,466,-175,-175,2012
"2610356880",522,142,522,-380,-380,2012
"2610366120",52,19,52,-46,-46,2012
"2610368000",15,85,15,70,70,2012
"2610368420",23,26,23,3,3,2012
"2610371460",114,141,114,14,14,2012
"2610374110",115,13,115,-102,-102,2012
"2610379780",38,38,38,0,0,2012
"2610385260",0,11,0,11,11,2012
"2610385540",140,243,140,103,103,2012
"2610314540",10,5,10,-5,-5,2013
"2610315660",654,518,654,-169,-169,2013
"2610325820",101,115,101,14,14,2013
"2610326840",0,4,0,4,4,2013
"2610329720",736,584,736,-228,-228,2013
"2610339940",14,69,14,55,55,2013
"2610341220",386,458,386,66,66,2013
"2610341240",127,137,127,1,1,2013
"2610351900",2761,3128,2761,275,275,2013
"2610351920",318,593,318,247,247,2013
"2610353540",53,7,53,-46,-46,2013
"2610356860",495,306,495,-189,-189,2013
"2610356880",355,173,355,-182,-182,2013
"2610366120",47,23,47,-39,-39,2013
"2610368000",11,78,11,67,67,2013
"2610368420",26,8,26,-18,-18,2013
"2610371460",117,151,117,22,22,2013
"2610374110",91,20,91,-71,-71,2013
"2610379780",7,38,7,31,31,2013
"2610380780",0,6,0,6,6,2013
"2610385260",13,18,13,5,5,2013
"2610385540",123,291,123,168,168,2013
"2610314540",8,19,8,11,11,2014
"2610315660",795,513,795,-309,-309,2014
"2610325820",70,153,70,83,83,2014
"2610329720",588,632,588,32,32,2014
"2610339940",17,74,17,57,57,2014
"2610341220",376,404,376,23,23,2014
"2610341240",156,120,156,-44,-44,2014
"2610351900",2637,3584,2637,857,857,2014
"2610351920",349,619,349,226,226,2014
"2610353540",57,9,57,-48,-48,2014
"2610356860",579,392,579,-187,-187,2014
"2610356880",186,207,186,14,14,2014
"2610366120",42,29,42,-26,-26,2014
"2610368000",15,81,15,64,64,2014
"2610368420",11,9,11,-2,-2,2014
"2610371460",52,109,52,41,41,2014
"2610374110",67,25,67,-42,-42,2014
