"o_fips","n_return_out","n_exempt_out","agi","year"
"06017",20904,37125,1194414,2012
"06019",49092,103206,1907451,2012
"06021",2832,6054,100379,2012
"06023",11834,20027,369111,2012
"06025",11798,27693,421595,2012
"06027",2178,3829,88886,2012
"06029",48128,105457,2247980,2012
"06031",14776,34242,550825,2012
"06033",5933,11351,211200,2012
"06035",2658,5125,112980,2012
"06037",559552,1031780,30006453,2012
"06039",11644,26590,498708,2012
"06041",28485,45712,2798973,2012
"06043",2534,4568,103478,2012
"06045",6968,12298,264778,2012
"06047",18689,43809,657378,2012
"06049",1024,2054,35359,2012
"06051",2610,4381,101419,2012
"06053",40293,86606,1956427,2012
"06055",13731,25337,737781,2012
"06057",12021,20346,608227,2012
"06059",235679,441543,13651458,2012
"06061",42682,78795,2112386,2012
"06063",2605,4821,114544,2012
"06065",190387,402215,8111675,2012
"06067",118751,223698,5588551,2012
"06069",5370,11844,262706,2012
"06071",193867,414742,7547404,2012
"06073",261928,489445,13173398,2012
"06075",130228,194681,12240887,2012
"06077",53400,112747,2255391,2012
"06079",24056,40800,999618,2012
"06081",82387,148378,7385711,2012
"06083",35765,63676,1903993,2012
"06085",152208,285219,13730725,2012
"06087",24956,45605,1203007,2012
"06089",14403,26451,501534,2012
"06091",396,761,15614,2012
"06093",4238,7741,148714,2012
"06095",44660,87461,2122215,2012
"06097",34504,57945,1736914,2012
"06099",36615,78169,1401685,2012
"06101",10042,22543,387997,2012
"06103",5763,12447,198061,2012
"06105",1338,2383,41434,2012
"06107",24214,54887,875520,2012
"06109",5082,9192,194415,2012
"06111",66663,132629,3983278,2012
"06113",25001,45608,1097332,2012
"06115",11190,24942,418222,2012
"08000",566735,1083158,28303459,2012
"08001",67745,145231,2799174,2012
"08003",2265,4605,69960,2012
"08005",105043,203097,5357457,2012
"08007",1847,3414,76144,2012
"08009",293,599,10328,2012
"08011",472,1050,14137,2012
"08013",45066,74350,2537145,2012
"08014",22678,40669,1273820,2012
"08015",2303,3946,87722,2012
"08017",174,452,7824,2012
"08019",1733,3022,100203,2012
"08021",599,1228,16571,2012
"08023",400,838,10479,2012
"08025",312,734,7824,2012
"08027",643,1373,28222,2012
"08029",3047,6110,122046,2012
"08031",132573,240732,6752550,2012
"08033",183,391,5879,2012
"08035",43830,88507,3613178,2012
"08037",9694,16708,455609,2012
"08039",3492,7401,186142,2012
"08041",87302,186971,3746696,2012
"08043",4256,8384,152690,2012
"08045",7952,16647,397037,2012
"08047",1346,2237,77006,2012
"08049",2760,4565,113133,2012
"08051",2934,4369,104697,2012
"08053",180,305,6590,2012
"08055",758,1369,21518,2012
"08057",194,350,5640,2012
"08059",78537,140530,4139046,2012
"08061",114,264,5582,2012
"08063",875,1877,32452,2012
"08065",1278,2383,45645,2012
"08067",7719,13350,333152,2012
"08069",40016,69684,1816043,2012
"08071",2024,4070,103344,2012
"08073",710,1417,26578,2012
"08075",2292,4315,85123,2012
"08077",15277,30469,708240,2012
"08079",166,292,5451,2012
"08081",1796,3645,77253,2012
"08083",3277,6418,121379,2012
"08085",4873,10008,214170,2012
"08087",3421,7310,117838,2012
"08089",1805,3610,53823,2012
"08091",740,1307,29974,2012
"08093",2772,5259,133091,2012
"08095",535,1032,16626,2012
"08097",3802,5656,296738,2012
"08099",1265,2751,49112,2012
"08101",12593,24764,495075,2012
"08103",1049,2365,57481,2012
"08105",1782,3656,66343,2012
"08107",4498,7261,197060,2012
"08109",632,1189,20544,2012
"08111",102,188,3750,2012
"08113",1489,2219,118017,2012
"08115",224,416,7993,2012
"08117",7594,11662,298225,2012
