"GEOID","NAME","MedIncE","MedIncM","GiniE","GiniM","TotPopE","TotPopM","Year"
"26039","Crawford County, Michigan",19261,1361,0.4466,0.044,14210,NA,2011
"26057","Gratiot County, Michigan",20897,850,0.4195,0.0143,42495,NA,2011
"26091","Lenawee County, Michigan",24106,660,0.3927,0.0074,100456,NA,2011
"26097","Mackinac County, Michigan",21578,1170,0.4041,0.0169,11198,NA,2011
"26061","Houghton County, Michigan",16243,676,0.4554,0.0136,36366,NA,2011
"26085","Lake County, Michigan",16231,978,0.4298,0.0222,11594,NA,2011
"26141","Presque Isle County, Michigan",21183,750,0.4095,0.0169,13528,NA,2011
"26077","Kalamazoo County, Michigan",22395,429,0.4682,0.0093,248810,NA,2011
"26123","Newaygo County, Michigan",21530,626,0.4305,0.0131,48778,NA,2011
"26025","Calhoun County, Michigan",21992,474,0.4414,0.0115,136554,NA,2011
"26081","Kent County, Michigan",25370,304,0.4427,0.0053,602046,NA,2011
"26145","Saginaw County, Michigan",22472,481,0.4465,0.0081,200998,NA,2011
"26017","Bay County, Michigan",24130,677,0.4169,0.0112,107838,NA,2011
"26041","Delta County, Michigan",20854,783,0.4115,0.0132,37248,NA,2011
"26105","Mason County, Michigan",22287,669,0.4469,0.02,28755,NA,2016
"26109","Menominee County, Michigan",22779,1085,0.4408,0.0374,23568,NA,2016
"26117","Montcalm County, Michigan",21931,560,0.4095,0.0125,62922,NA,2016
"26113","Missaukee County, Michigan",21732,1016,0.4036,0.0155,15032,NA,2016
"26149","St. Joseph County, Michigan",24762,757,0.4138,0.0126,60923,NA,2016
"26147","St. Clair County, Michigan",25096,508,0.431,0.0083,160069,NA,2016
"26159","Van Buren County, Michigan",23045,820,0.4432,0.0145,75216,NA,2016
"26161","Washtenaw County, Michigan",30579,368,0.4796,0.0052,358082,NA,2016
"26011","Arenac County, Michigan",21867,729,0.4252,0.0133,15327,NA,2016
"26015","Barry County, Michigan",28050,967,0.3846,0.0108,59316,NA,2016
"26027","Cass County, Michigan",24718,866,0.4503,0.0162,51795,NA,2016
"26071","Iron County, Michigan",20701,946,0.4428,0.0214,11393,NA,2016
"26019","Benzie County, Michigan",24324,1387,0.4007,0.0133,17462,NA,2016
"26143","Roscommon County, Michigan",19925,827,0.4218,0.0143,23900,NA,2016
"26153","Schoolcraft County, Michigan",19245,1804,0.4433,0.0217,8186,NA,2016
"26163","Wayne County, Michigan",23001,259,0.4955,0.0032,1767593,NA,2016
"26023","Branch County, Michigan",23895,689,0.4089,0.0108,43603,NA,2016
"26055","Grand Traverse County, Michigan",26326,724,0.4477,0.0179,90715,NA,2016
"26075","Jackson County, Michigan",24323,712,0.4415,0.0112,159483,NA,2016
"26049","Genesee County, Michigan",24067,418,0.4581,0.0061,413090,NA,2016
"26009","Antrim County, Michigan",24437,1063,0.4583,0.0184,23215,NA,2016
"26093","Livingston County, Michigan",34935,682,0.3952,0.0065,185841,NA,2016
"26069","Iosco County, Michigan",21215,642,0.4383,0.0271,25373,NA,2016
"26101","Manistee County, Michigan",22410,639,0.4252,0.0134,24465,NA,2016
"26119","Montmorency County, Michigan",19922,1194,0.4083,0.0233,9317,NA,2016
"26051","Gladwin County, Michigan",21764,698,0.4386,0.0149,25367,NA,2016
"26107","Mecosta County, Michigan",18899,849,0.4476,0.0164,43259,NA,2016
"26103","Marquette County, Michigan",22322,628,0.4416,0.0114,67418,NA,2016
